participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst,gem_colour
1,1,1,1,1,2,3,1,1,2,0,12435.64137,12440.72448,12443.72449,12445.27762,12448.10961,12432.60805,NaN,0,1,0.658661981,0.8,NaN,0,1,1,0.2,0.8,0.8,1,2
1,1,2,1,0,2,3,2,1,1,-1,12450.14205,12452.62512,12456.10841,12457.64205,12461.79155,NaN,NaN,0,-1,0.599318909,0.8,0,0,1,NaN,0.2,0.8,0.8,-1,2
1,1,3,1,1,2,3,1,1,2,0,12463.80798,12466.40865,12468.22457,12469.75811,12474.8246,NaN,NaN,0,1,0.781296622,0.8,NaN,0,1,1,0.2,0.8,0.8,1,2
1,1,4,1,0,1,3,1,1,2,0,12476.84094,12481.65746,12484.05764,12485.59089,12488.65745,NaN,NaN,0,-1,0.88940946,0.8,1,0,0,NaN,0.2,0.8,0.8,-1,4
1,1,5,1,1,1,3,1,1,1,-1,12490.6909,12493.99075,12496.408,12497.94289,12501.12488,NaN,NaN,0,-1,0.389440867,0.8,NaN,0,1,1,0.2,0.8,0.8,1,4
1,1,6,1,1,1,3,2,0,1,-1,12503.1405,12508.95794,12512.22493,12513.75782,12517.52444,NaN,NaN,0,-1,0.302637952,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,4
1,1,7,1,1,1,3,1,1,2,0,12519.54044,12524.32456,12526.54014,12528.0736,12532.14057,NaN,NaN,0,-1,0.827009664,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,4
1,1,8,1,0,2,3,2,0,1,1,12534.15761,12537.93999,12540.70684,12542.24029,12546.04004,NaN,NaN,0,1,1.018089332,0.8,1,0,1,NaN,0.2,0.8,0.8,1,2
1,1,9,1,1,1,3,1,1,2,0,12548.05675,12552.95643,12556.32367,12557.85743,12563.77345,NaN,NaN,0,-1,0.428915751,0.8,NaN,0,1,1,0.2,0.8,0.8,1,4
1,1,10,1,1,1,3,2,0,1,1,12565.79018,12568.3068,12571.70724,12573.2403,12578.34016,NaN,NaN,0,1,0.754840218,0.8,NaN,0,1,1,0.2,0.8,0.8,1,4
1,1,11,1,0,1,3,2,0,1,1,12580.35627,12582.93978,12584.774,12586.30621,12592.30618,NaN,NaN,0,1,0.618821664,0.8,1,0,1,NaN,0.2,0.8,0.8,1,4
1,1,12,1,0,1,3,1,1,1,-1,12594.32362,12598.8229,12601.17289,12602.70605,12606.15641,NaN,NaN,0,-1,0.667227414,0.8,0,0,1,NaN,0.2,0.8,0.8,1,4
1,1,13,1,1,1,3,2,0,1,1,12608.17254,12613.28921,12615.22256,12616.75666,12622.20626,NaN,NaN,0,1,0.413449296,0.8,NaN,0,1,1,0.2,0.8,0.8,1,4
1,1,14,1,1,2,3,2,0,2,0,12624.22217,12628.70606,12630.80597,12632.33957,12638.22183,NaN,NaN,0,1,0.796584079,0.8,NaN,0,1,1,0.2,0.8,0.8,1,2
1,1,15,1,1,1,3,2,0,2,0,12640.23941,12643.55626,12645.17193,12646.70549,12651.83961,NaN,NaN,0,-1,1.210198951,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,4
1,1,16,1,1,2,3,1,1,1,1,12653.8558,12657.92201,12659.98921,12661.52182,12663.67257,NaN,NaN,0,1,0.523737961,0.8,NaN,0,1,1,0.2,0.8,0.8,1,2
1,1,17,1,1,1,3,2,0,1,-1,12665.68917,12668.42244,12671.4051,12672.93841,12678.60523,NaN,NaN,0,-1,0.627183841,0.8,NaN,0,1,1,0.2,0.8,0.8,1,4
1,1,18,1,1,2,3,2,0,1,-1,12680.6216,12685.2896,12686.98788,12688.50453,12691.73895,NaN,NaN,0,-1,0.937850634,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,2
1,1,19,1,1,2,3,1,1,1,1,12693.75482,12696.65518,12699.05467,12700.58931,12706.23835,NaN,NaN,0,1,0.826621998,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,2
1,1,20,1,0,2,3,1,0,1,-1,12708.25431,12712.73858,12714.28796,12715.82105,12720.48762,NaN,NaN,0,-1,0.779880809,0.8,0,0,1,NaN,0.2,0.8,0.8,-1,2
1,1,21,1,1,1,3,1,1,2,0,12722.50447,12724.90464,12726.77112,12728.30471,12734.1385,NaN,NaN,0,1,0.635780293,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,4
1,1,22,1,1,1,3,1,1,2,0,12736.15405,12741.42155,12743.30418,12744.83776,12747.33719,NaN,NaN,0,-1,0.691663471,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,4
1,1,23,1,1,2,3,2,0,1,-1,12749.3537,12752.38694,12755.08803,12756.60412,12761.57041,NaN,NaN,0,-1,0.679818711,0.8,NaN,0,1,1,0.2,0.8,0.8,1,2
1,1,24,1,0,1,3,2,1,1,1,12763.58765,12767.07119,12769.85388,12771.38754,12773.97105,NaN,NaN,0,1,1.278702506,0.8,1,0,1,NaN,0.2,0.8,0.8,-1,4
1,1,25,1,1,2,3,2,0,2,0,12775.98716,12779.67088,12781.80437,12783.3385,12786.9703,NaN,NaN,0,1,0.951955346,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,2
1,1,26,1,1,2,3,2,0,1,-1,12788.98721,12792.20373,12793.7871,12795.32037,12799.60362,NaN,NaN,0,-1,1.05024123,0.8,NaN,0,1,1,0.2,0.8,0.8,1,2
1,1,27,1,0,2,3,1,1,2,0,12801.62042,12805.68637,12807.33695,12808.87011,12813.98658,NaN,NaN,0,1,0.981303987,0.8,1,0,1,NaN,0.2,0.8,0.8,1,2
1,1,28,1,1,1,3,2,NaN,9,NaN,12816.00322,12820.08616,12822.27065,12823.78646,12826.22032,NaN,NaN,1,1,NaN,0.8,NaN,0,NaN,0,0.2,0.8,0.8,-1,4
1,1,29,1,1,1,3,1,1,2,0,12828.23857,12833.66991,12836.73639,12838.25297,12842.1199,NaN,NaN,0,-1,0.990717491,0.8,NaN,0,1,1,0.2,0.8,0.8,1,4
