participantID,condition,blocks,blockType,trials,probabilitiesMarketOne_1,probabilitiesMarketOne_2,probabilitiesMarketTwo_1,probabilitiesMarketTwo_2,rewards_1,rewards_2,gem_presented,market_presented,chooseLeft,stateChosen,outcomeState,outcome,RT,black_rl_p,black_sofa_p,chosen_rl_p,chosen_sofa_p,pick_black,rt_log_trans,white_rl_p,white_sofa_p,missed_response,structureAwareness,evidence_consistency,consistent_choice,same_gem,doorRepeat,sideRepeat
1,1,1,1,1,0.2,0.8,0.2,0.8,-1,0,1,1,9,0,9,9,9,0.2,0.8,NaN,NaN,NaN,NaN,0.8,0.2,1,0,0,0,0,0,0
1,1,1,1,2,0.2,0.8,0.2,0.8,1,0,1,1,1,2,2,0,1.235002995,0.2,0.8,0.8,0.2,0,-0.211073395,0.8,0.2,0,0,0,0,1,0,0
1,1,1,1,3,0.2,0.8,0.2,0.8,1,0,1,1,0,1,1,1,1.757672071,0.2,0.8,0.2,0.8,1,-0.563990247,0.8,0.2,0,0,1,1,1,0,0
1,1,1,1,4,0.2,0.8,0.2,0.8,1,0,1,1,1,1,2,0,1.23885417,0.2,0.8,0.2,0.8,1,-0.214186896,0.8,0.2,0,0,1,1,1,1,0
1,1,1,1,5,0.2,0.8,0.2,0.8,-1,0,2,1,0,1,2,0,3.509742022,0.2,0.8,0.2,0.8,1,-1.255542537,0.8,0.2,0,0,0,0,0,1,0
1,1,1,1,6,0.2,0.8,0.2,0.8,1,0,1,1,1,2,1,1,1.877753019,0.2,0.8,0.8,0.2,0,-0.63007586,0.8,0.2,0,0,0,0,0,0,0
1,1,1,1,7,0.2,0.8,0.2,0.8,1,0,2,1,1,2,1,1,1.355410814,0.2,0.8,0.8,0.2,0,-0.304104592,0.8,0.2,0,0,0,0,0,1,1
1,1,1,1,8,0.2,0.8,0.2,0.8,-1,0,1,1,0,1,2,0,1.519417048,0.2,0.8,0.2,0.8,1,-0.41832674,0.8,0.2,0,0,0,0,0,0,0
1,1,1,1,9,0.2,0.8,0.2,0.8,1,0,2,1,1,2,2,0,1.165743113,0.2,0.8,0.8,0.2,0,-0.153358749,0.8,0.2,0,0,0,0,0,0,0
1,1,1,1,10,0.2,0.8,0.2,0.8,-1,0,1,1,0,2,1,-1,1.601225138,0.2,0.8,0.8,0.2,0,-0.470769047,0.8,0.2,0,0,1,1,0,1,0
1,1,1,1,11,0.2,0.8,0.2,0.8,1,0,1,1,1,2,1,1,4.739987135,0.2,0.8,0.8,0.2,0,-1.556034422,0.8,0.2,0,0,0,0,1,1,0
1,1,1,1,12,0.2,0.8,0.2,0.8,1,0,2,1,0,1,2,0,2.730995893,0.2,0.8,0.2,0.8,1,-1.004666339,0.8,0.2,0,0,0,1,0,0,0
1,1,1,1,13,0.2,0.8,0.2,0.8,-1,0,1,1,1,1,1,-1,3.786587954,0.2,0.8,0.2,0.8,1,-1.331465337,0.8,0.2,0,0,0,0,0,1,0
1,1,1,1,14,0.2,0.8,0.2,0.8,-1,0,1,1,1,2,2,0,2.919603109,0.2,0.8,0.8,0.2,0,-1.071447686,0.8,0.2,0,0,1,1,1,0,1
1,1,1,1,15,0.2,0.8,0.2,0.8,1,0,2,1,0,2,2,0,2.658652067,0.2,0.8,0.8,0.2,0,-0.977819253,0.8,0.2,0,0,1,0,0,1,0
1,1,1,1,16,0.2,0.8,0.2,0.8,-1,0,2,1,1,2,1,-1,2.279177189,0.2,0.8,0.8,0.2,0,-0.823814496,0.8,0.2,0,0,1,1,1,1,0
1,1,1,1,17,0.2,0.8,0.2,0.8,1,0,2,1,0,2,2,0,2.167240143,0.2,0.8,0.8,0.2,0,-0.773454535,0.8,0.2,0,0,0,0,1,1,0
1,1,1,1,18,0.2,0.8,0.2,0.8,1,0,1,1,1,1,1,1,1.89120388,0.2,0.8,0.2,0.8,1,-0.6372136,0.8,0.2,0,0,1,1,0,0,0
1,1,1,1,19,0.2,0.8,0.2,0.8,1,0,1,1,1,1,2,0,1.284538031,0.2,0.8,0.2,0.8,1,-0.250399144,0.8,0.2,0,0,1,1,1,1,1
1,1,1,1,20,0.2,0.8,0.2,0.8,1,0,1,1,1,2,2,0,2.575191021,0.2,0.8,0.8,0.2,0,-0.945923714,0.8,0.2,0,0,0,0,1,0,1
1,1,1,1,21,0.2,0.8,0.2,0.8,-1,0,1,1,1,2,1,-1,2.33266592,0.2,0.8,0.8,0.2,0,-0.847011785,0.8,0.2,0,0,1,1,1,1,1
1,1,1,1,22,0.2,0.8,0.2,0.8,1,0,2,1,0,1,2,0,3.099028111,0.2,0.8,0.2,0.8,1,-1.13108855,0.8,0.2,0,0,0,1,0,0,0
1,1,1,1,23,0.2,0.8,0.2,0.8,-1,0,2,1,0,1,2,0,2.519411802,0.2,0.8,0.2,0.8,1,-0.924025462,0.8,0.2,0,0,0,0,1,1,1
1,1,1,1,24,0.2,0.8,0.2,0.8,-1,0,2,1,1,2,1,-1,2.118189812,0.2,0.8,0.8,0.2,0,-0.750561862,0.8,0.2,0,0,0,1,1,0,0
1,1,1,1,25,0.2,0.8,0.2,0.8,1,0,1,1,0,1,2,0,3.744890928,0.2,0.8,0.2,0.8,1,-1.320392492,0.8,0.2,0,0,0,1,0,0,0
1,1,1,1,26,0.2,0.8,0.2,0.8,1,0,1,1,0,2,1,1,1.538038015,0.2,0.8,0.8,0.2,0,-0.430507588,0.8,0.2,0,0,0,0,1,0,1
1,1,1,1,27,0.2,0.8,0.2,0.8,1,0,1,1,1,2,1,1,1.144601822,0.2,0.8,0.8,0.2,0,-0.135056823,0.8,0.2,0,0,0,0,1,1,0
1,1,1,1,28,0.2,0.8,0.2,0.8,1,0,2,1,1,2,1,1,1.387175083,0.2,0.8,0.8,0.2,0,-0.327269365,0.8,0.2,0,0,0,0,0,1,1
1,1,1,1,29,0.2,0.8,0.2,0.8,1,0,1,1,1,2,1,1,1.383940935,0.2,0.8,0.8,0.2,0,-0.324935179,0.8,0.2,0,0,0,0,0,1,1
1,1,1,1,30,0.2,0.8,0.2,0.8,-1,0,2,1,1,1,2,0,2.191797972,0.2,0.8,0.2,0.8,1,-0.784722199,0.8,0.2,0,0,0,0,0,0,1
1,1,1,1,31,0.2,0.8,0.2,0.8,-1,0,2,1,0,1,2,0,1.055858135,0.2,0.8,0.2,0.8,1,-0.054353835,0.8,0.2,0,0,0,0,1,1,0
1,1,1,1,32,0.2,0.8,0.2,0.8,1,0,1,1,1,2,1,1,1.305096865,0.2,0.8,0.8,0.2,0,-0.266277264,0.8,0.2,0,0,0,0,0,0,0
1,1,1,1,33,0.2,0.8,0.2,0.8,-1,0,2,1,1,2,1,-1,2.356996059,0.2,0.8,0.8,0.2,0,-0.857387952,0.8,0.2,0,0,0,1,0,1,1
1,1,1,1,34,0.2,0.8,0.2,0.8,1,0,2,1,1,2,1,1,0.831219912,0.2,0.8,0.8,0.2,0,0.184860884,0.8,0.2,0,0,0,0,1,1,1
