desirable_neg,desirable_pos,undesirable_neg,undesirable_pos
0.79,0.82,0.64,0.69
0.15,0.35,0.67,0.3
0.55,0.56,0.68,0.55
0.56,0.55,0.57,0.63
0.47,0.4,0.68,0.37
0.62,0.89,0.71,0.67
0.63,0.79,0.71,0.68
0.72,0.87,0.88,0.69
0.44,0.65,0.64,0.75
0.68,0.79,0.88,0.77
0.56,0.59,0.62,0.69
0.5,0.74,0.72,0.64
0.41,0.71,0.5,0.67
0.75,0.71,0.81,0.79
0.6,0.75,0.67,0.67
0.65,0.41,0.4,0.61
0.63,0.94,0.82,0.75
0.67,0.72,0.53,0.6
0.5,0.69,0.52,0.67
0.81,0.8,0.61,0.81
0.57,0.85,0.56,0.72
0.81,0.82,0.75,0.47
0.57,0.76,0.75,0.55
0.57,0.68,0.82,0.8
0.71,0.65,0.5,0.59
0.76,0.89,0.69,0.89
0.53,0.56,0.57,0.5
0.73,0.73,0.69,0.47
0.69,1,0.56,0.89
