sub,slope,w_raw,lr_raw
1,2.426733393,1.340022153,0.589045758
2,1.237551232,0.930965912,-0.729405943
3,1.376011625,0.833057067,-1.020473078
4,1.693479596,0.725168725,-0.653415377
5,0.644726124,0.798837935,-0.448124702
6,2.083106161,1.263687467,1.008885615
7,1.978238279,1.083321721,0.371007074
8,2.127006052,1.285206004,0.678892965
9,1.120216446,0.932020719,-0.690046753
10,1.587802404,1.22077083,0.775064603
11,1.156642387,1.08596592,0.206529479
12,1.807716157,0.872263072,-0.228905947
13,0.772388471,0.98123708,0.17057474
14,2.273929644,1.515987715,1.041678559
15,1.396550761,0.994938518,0.191968517
16,0.816740847,0.957620545,-0.389835496
17,1.915835116,1.160329611,0.314124028
18,2.079385736,1.050504179,0.074599428
19,0.769409316,1.09093337,0.222008917
20,1.926743466,1.125034163,0.534491955
22,1.793826423,1.193668249,0.212503755
23,2.284474465,0.094536659,0.656048618
24,1.716645168,0.884990474,0.401693963
25,1.523142103,1.105351133,0.697909548
26,0.83428287,0.902264403,0.092386198
27,2.366630366,1.27949049,0.791838785
29,1.603299396,1.038182701,-0.933981319
30,1.300426795,1.150474824,-0.040965301
31,1.630342681,1.360121241,0.837274756
